JokeId,JokeText,Wordplay,Observational,Character_based,Satire,Absurd,Dark,JokeWords,KeyWords
1,"A man visits the doctor. The doctor says ""I have bad news for you.You have
cancer and Alzheimer's disease"". 
The man replies ""Well,thank God I don't have cancer!""
",0,0,0,0,0,1,man visit doctor doctor say bad news cancer alzheimer disease man reply well thank god cancer,man doctor doctor say bad news man reply well
2,"This couple had an excellent relationship going until one day he came home
from work to find his girlfriend packing. He asked her why she was leaving him
and she told him that she had heard awful things about him. 

""What could they possibly have said to make you move out?"" 

""They told me that you were a pedophile."" 

He replied, ""That's an awfully big word for a ten year old."" 
",1,0,0,0,0,1,couple excellent relationship going one day came home work find girlfriend packing asked leaving told heard awful thing could possibly said make move told pedophile replied awfully big word ten year old,couple going one day came home work find asked told thing could said make told replied big word year old
3,"Q. What's 200 feet long and has 4 teeth? 

A. The front row at a Willie Nelson Concert.
",1,0,1,0,0,0,200 foot long 4 teeth front row willie nelson concert,foot long
4,"Q. What's the difference between a man and a toilet? 

A. A toilet doesn't follow you around after you use it.
",0,0,1,0,0,1,difference man toilet toilet follow around use,difference man around use
5,"Q.	What's O. J. Simpson's Internet address? 
A.	Slash, slash, backslash, slash, slash, escape.
",1,0,0,0,0,0,j simpson internet address slash slash backslash slash slash escape,
6,"Bill & Hillary are on a trip back to Arkansas. They're almost out of gas, so Bill pulls into a service station on the outskirts of
town. The attendant runs out of the station to serve them when Hillary realizes it's an old boyfriend from high school. She and
the attendant chat as he gases up their car and cleans the windows. Then they all say good-bye. 

As Bill pulls the car onto the road, he turns to Hillary and says, 'Now aren't you glad you married me and not him ? You could've
been the wife of a grease monkey !' 

To which Hillary replied, 'No, Bill. If I would have married him, you'd be pumping gas and he would be the President !' 
",0,0,1,1,0,0,bill hillary trip back arkansas almost gas bill pull service station outskirt town attendant run station serve hillary realizes old boyfriend high school attendant chat gas car clean window say good bye bill pull car onto road turn hillary say glad married could wife grease monkey hillary replied bill would married pumping gas would president,bill hillary back bill pull run hillary old school car window say good bill pull car turn hillary say married could wife hillary replied bill would married would president
7,"How many feminists does it take to screw in a light bulb?
That's not funny.
",0,0,1,1,0,0,many feminist take screw light bulb funny,many take screw light bulb funny
8,"Q. Did you hear about the dyslexic devil worshiper? 

A. He sold his soul to Santa.
",1,0,0,0,0,0,hear dyslexic devil worshiper sold soul santa,
9,"A country guy goes into a city bar that has a dress code, and the maitre
d' 
demands he wear a tie. Discouraged, the guy goes to his car to sulk when 
inspiration strikes: He's got jumper cables in the trunk! So he wraps
them around his neck, sort of like a string tie (a bulky string tie to be
sure) and returns to the bar. The maitre d' is reluctant, but says to the
guy, ""Okay, you're a pretty resourceful fellow, you can come in... but
just don't start anything""!  
",0,1,0,0,0,0,country guy go city bar dress code maitre demand wear tie discouraged guy go car sulk inspiration strike got jumper cable trunk wrap around neck sort like string tie bulky string tie sure return bar maitre reluctant say guy okay pretty resourceful fellow come start anything,country guy go bar guy go car got around like return bar say guy okay come start anything
10,"Two cannibals are eating a clown, one turns to other and says: 
""Does this taste funny to you? 
",0,0,0,0,0,1,two cannibal eating clown one turn say taste funny,two eating one turn say funny
11,"Q. What do a hurricane, a tornado, and a redneck
divorce all have in common? 
A. Someone's going to lose their trailer...
",0,0,0,0,1,1,hurricane tornado redneck divorce common someone going lose trailer,someone going
12,"A guy stood over his tee shot for what seemed an eternity, looking up, looking down, measuring the distance,
figuring the wind direction and speed. Driving his partner nuts.

Finally his exasperated partner says, ""What the hell is taking so long? Hit the goddamn ball!""
The guy answers, ""My wife is up there watching me from the clubhouse. I want to make this a perfect shot.""
""Well, hell, man, you don't stand a snowball's chance in hell of hitting her from here!"" 
",0,0,1,0,0,0,guy stood tee shot seemed eternity looking looking measuring distance figuring wind direction speed driving partner nut finally exasperated partner say hell taking long hit goddamn ball guy answer wife watching clubhouse want make perfect shot well hell man stand snowball chance hell hitting,guy looking looking finally say hell long guy answer wife want make well hell man hell
13,"They asked the Japanese visitor if they have elections in his
country.  
""Every Morning"" he answers.
",0,1,0,0,0,0,asked japanese visitor election country every morning answer,asked country every morning answer
14,"The father was very anxious to marry off his only daughter so he wanted 
to impress her date. ""Do  you like to screw,"" he says. ""Huh"" replied the 
surprised first date. ""My daughter she loves to screw and she's good at it, 
you and her  should go screw,"" carefully explained the father. Now very 
interested the boy replied, ""Yes, sir."" Minutes later the girl came down 
the stairs, kissed her father goodbye and the couple left. After only a 
few minutes she reappeared, furious, dress torn, hair a mess and screamed
""Dammit, Daddy, it's the TWIST, get it straight!"" 
",0,0,1,0,1,0,father anxious marry daughter wanted impress date like screw say huh replied surprised first date daughter love screw good go screw carefully explained father interested boy replied yes sir minute later girl came stair kissed father goodbye couple left minute reappeared furious dress torn hair mess screamed dammit daddy twist get straight,father like screw say replied first love screw good go screw father boy replied yes sir minute later girl came father couple left minute mess get straight
15,"Q:  What did the blind person say when given some matzah?

A:  Who the hell wrote this?
",0,0,0,0,0,1,blind person say given matzah hell wrote,person say hell
16,"Q. What is orange and sounds like a parrot?  

A. A carrot.
",1,0,0,0,0,0,orange sound like parrot carrot,like
17,"How many men does it take to screw in a light bulb? 

One...men will screw anything. 
",0,0,0,1,0,0,many men take screw light bulb one men screw anything,many men take screw light bulb one men screw anything
18,"A dog walks into Western Union and asks the clerk to send a telegram. He fills out a form on which he
writes down the telegram he wishes to send: ""Bow wow wow, Bow wow wow.""

The clerk says, ""You can add another 'Bow wow' for the same price.""

The dog responded, ""Now wouldn't that sound a little silly?"" 
",1,0,0,0,0,0,dog walk western union asks clerk send telegram fill form writes telegram wish send bow wow wow bow wow wow clerk say add another bow wow price dog responded sound little silly,walk asks say another little
19,"Q: If a person who speaks three languages is called ""tri-lingual,"" and
a person who speaks two languages is called ""bi-lingual,"" what do call
a person who only speaks one language?

A: American! 
",0,0,0,1,0,0,person speaks three language called tri lingual person speaks two language called bi lingual call person speaks one language american,person three language person two language call person one language american
20,"What's the difference between a MacIntosh and an
Etch-A-Sketch? 

You don't have to shake the Mac to clear the screen. 
",1,0,0,0,0,0,difference macintosh etch sketch shake mac clear screen,difference
21,"What's the difference between a used tire and 365 used condoms?

One's a Goodyear, the other's a great year.
",0,0,0,0,0,1,difference used tire 365 used condom one goodyear great year,difference condom one great year
22,"A duck walks into a pharmacy and asks for a condom. The pharmacist says
""Would you like me to stick that on your bill?""
The duck says: 
""What kind of duck do you think I am!""
",1,0,0,0,0,0,duck walk pharmacy asks condom pharmacist say would like stick bill duck say kind duck think,walk asks condom say would like bill say think
23,"Q: What is the Australian word for a boomerang that won't
   come back? 

A: A stick
",1,0,0,0,0,0,australian word boomerang come back stick,word come back
24,"What do you get when you run over a parakeet with a lawnmower? 
Shredded tweet.
",1,0,0,0,0,0,get run parakeet lawnmower shredded tweet,get run
25,"Two kindergarten girls were talking outside: one said, ""You
won't believe what I saw on the patio yesterday--a condom!""

The second girl asked, ""What's a patio?""
",0,0,1,0,0,0,two kindergarten girl talking outside one said believe saw patio yesterday condom second girl asked patio,two girl one said condom second girl asked
26,"A guy walks into a bar and sits down next to an extremely gorgeous 
woman.  The first thing he notices about her though, are her pants.  
They were skin-tight, high-waisted and had no obvious mechanism 
(zipper, buttons or velcro) for opening them.

After several minutes of puzzling over how she got the pants up over 
her hips, he finally worked up the nerve to ask her.  ""Excuse me miss, 
but how do you get into your pants?""

""Well,"" she replied, ""you can start by buying me a drink.""
",0,0,1,0,0,0,guy walk bar sits next extremely gorgeous woman first thing notice though pant skin tight high waisted obvious mechanism zipper button velcro opening several minute puzzling got pant hip finally worked nerve ask excuse miss get pant well replied start buying drink,guy walk bar sits next woman first thing notice minute got finally worked get well replied start drink
27,"Clinton returns from a vacation in Arkansas and walks down  the
steps of Air Force One with two pigs under his arms.  At the bottom
of the steps, he says  to the honor guardsman, ""These are genuine
Arkansas Razor-Back Hogs.  I got this one for Chelsea and this one for
Hillary.""  

The guardsman replies, ""Nice trade, Sir.""
",0,0,0,1,0,0,clinton return vacation arkansas walk step air force one two pig arm bottom step say honor guardsman genuine arkansas razor back hog got one chelsea one hillary guardsman reply nice trade sir,clinton return walk one two say back got one one hillary reply sir
28,"A mechanical, electrical and a software engineer from Microsoft were
driving through the desert when the car broke down. The mechanical
engineer said ""It seems to be a problem with the fuel injection system,
why don't we pop the hood and I'll take a look at it."" To which the
electrical engineer replied, ""No I think it's just a loose ground wire,
I'll get out and take a look."" Then, the Microsoft engineer jumps in.
""No, no, no. If we just close up all the windows, get out, wait a few
minutes, get back in, and then reopen the windows everything will work
fine.""
",0,0,1,1,0,0,mechanical electrical software engineer microsoft driving desert car broke mechanical engineer said seems problem fuel injection system pop hood take look electrical engineer replied think loose ground wire get take look microsoft engineer jump close window get wait minute get back reopen window everything work fine,mechanical engineer car mechanical engineer said problem system take look engineer replied think ground get take look engineer window get minute get back window everything work fine
